algorithm,checkpoint,step,model_path,mean_reward,std_reward,min_reward,max_reward,mean_caught,mean_missed,mean_coverage,mean_false
DQN,wildlife_dqn_500000_steps.zip,500000,models/dqn/wildlife_dqn_500000_steps.zip,2494.2145,972.7641,1008.5666,3503.5930,0.0000,6.4000,15.8000,33.4000
DQN,wildlife_dqn_505000_steps.zip,505000,models/dqn/wildlife_dqn_505000_steps.zip,2456.1585,1422.0396,967.4264,5046.1450,0.0000,8.4000,13.6000,1.6000
DQN,wildlife_dqn_510000_steps.zip,510000,models/dqn/wildlife_dqn_510000_steps.zip,2567.3831,707.2546,1807.6614,3538.5038,0.0000,8.6000,16.2000,1.0000
DQN,wildlife_dqn_515000_steps.zip,515000,models/dqn/wildlife_dqn_515000_steps.zip,2560.7675,1178.1083,437.9030,3672.6418,0.0000,8.2000,10.6000,1.2000
DQN,wildlife_dqn_520000_steps.zip,520000,models/dqn/wildlife_dqn_520000_steps.zip,3176.3853,823.1640,2074.5706,4280.1476,0.0000,7.2000,11.0000,1.0000
DQN,wildlife_dqn_525000_steps.zip,525000,models/dqn/wildlife_dqn_525000_steps.zip,2986.6588,678.5681,1783.8832,3589.8682,0.0000,6.0000,15.4000,1.0000
DQN,wildlife_dqn_530000_steps.zip,530000,models/dqn/wildlife_dqn_530000_steps.zip,2439.1899,1205.0741,1139.7622,3900.1794,0.0000,7.0000,10.2000,2.0000
DQN,wildlife_dqn_535000_steps.zip,535000,models/dqn/wildlife_dqn_535000_steps.zip,3055.0164,1038.1499,1870.5032,4505.2578,0.0000,7.4000,11.8000,22.0000
DQN,wildlife_dqn_540000_steps.zip,540000,models/dqn/wildlife_dqn_540000_steps.zip,2958.9473,1609.5465,987.8860,4380.5074,0.0000,9.6000,7.8000,7.2000
DQN,wildlife_dqn_545000_steps.zip,545000,models/dqn/wildlife_dqn_545000_steps.zip,3010.2470,1050.9005,1286.8482,4422.9426,0.0000,6.4000,9.2000,0.2000
DQN,wildlife_dqn_550000_steps.zip,550000,models/dqn/wildlife_dqn_550000_steps.zip,3250.1783,857.2463,2208.6156,4778.4570,0.0000,8.2000,8.2000,14.6000
DQN,wildlife_dqn_555000_steps.zip,555000,models/dqn/wildlife_dqn_555000_steps.zip,2827.4686,1360.0057,1170.4250,5245.8350,0.0000,10.0000,13.0000,14.8000
DQN,wildlife_dqn_560000_steps.zip,560000,models/dqn/wildlife_dqn_560000_steps.zip,3278.1590,893.6063,1732.6320,4171.6676,0.0000,6.4000,12.4000,25.8000
DQN,wildlife_dqn_565000_steps.zip,565000,models/dqn/wildlife_dqn_565000_steps.zip,2925.8979,1485.8555,1015.2418,5270.2634,0.0000,8.4000,12.8000,5.6000
DQN,wildlife_dqn_570000_steps.zip,570000,models/dqn/wildlife_dqn_570000_steps.zip,1747.4034,2195.3554,-2238.7184,4304.9070,0.0000,10.2000,17.8000,105.8000
DQN,wildlife_dqn_575000_steps.zip,575000,models/dqn/wildlife_dqn_575000_steps.zip,2877.6836,874.3320,1303.7542,3699.9000,0.0000,5.8000,7.4000,6.4000
DQN,wildlife_dqn_580000_steps.zip,580000,models/dqn/wildlife_dqn_580000_steps.zip,2091.8122,1119.4368,499.9802,3419.6092,0.0000,8.0000,14.2000,28.6000
DQN,wildlife_dqn_585000_steps.zip,585000,models/dqn/wildlife_dqn_585000_steps.zip,1643.0822,778.7831,533.5110,2797.2872,0.0000,8.2000,12.2000,39.8000
DQN,wildlife_dqn_590000_steps.zip,590000,models/dqn/wildlife_dqn_590000_steps.zip,2021.4254,811.3721,665.5810,3072.9572,0.0000,9.8000,22.4000,13.0000
DQN,wildlife_dqn_595000_steps.zip,595000,models/dqn/wildlife_dqn_595000_steps.zip,2382.4018,889.3009,1425.8072,3779.7832,0.0000,8.4000,15.0000,7.4000
DQN,wildlife_dqn_600000_steps.zip,600000,models/dqn/wildlife_dqn_600000_steps.zip,2144.9085,1559.4817,-836.4676,3284.1344,0.0000,8.2000,12.6000,50.2000
DQN,wildlife_dqn_605000_steps.zip,605000,models/dqn/wildlife_dqn_605000_steps.zip,2312.2016,1122.3608,1233.0064,3950.5090,0.0000,7.6000,30.0000,13.6000
DQN,wildlife_dqn_610000_steps.zip,610000,models/dqn/wildlife_dqn_610000_steps.zip,1361.2580,985.8686,-446.7762,2369.9516,0.0000,7.8000,14.6000,17.8000
DQN,wildlife_dqn_615000_steps.zip,615000,models/dqn/wildlife_dqn_615000_steps.zip,2935.9505,1171.1991,618.0590,3702.0948,0.0000,6.2000,9.8000,4.0000
DQN,wildlife_dqn_620000_steps.zip,620000,models/dqn/wildlife_dqn_620000_steps.zip,1718.3558,956.8050,574.2350,3396.9992,0.0000,8.4000,17.0000,8.4000
DQN,wildlife_dqn_625000_steps.zip,625000,models/dqn/wildlife_dqn_625000_steps.zip,2471.9891,1436.7402,-66.3894,4384.2422,0.0000,7.0000,22.6000,1.0000
DQN,wildlife_dqn_630000_steps.zip,630000,models/dqn/wildlife_dqn_630000_steps.zip,3126.7502,747.7995,2198.9750,3846.4056,0.0000,5.4000,6.0000,13.0000
DQN,wildlife_dqn_635000_steps.zip,635000,models/dqn/wildlife_dqn_635000_steps.zip,3876.2554,836.1364,3001.3546,5458.0620,0.0000,8.8000,16.4000,10.6000
DQN,wildlife_dqn_640000_steps.zip,640000,models/dqn/wildlife_dqn_640000_steps.zip,2369.6109,1640.8709,226.7328,4675.0584,0.0000,7.8000,19.6000,7.0000
DQN,wildlife_dqn_645000_steps.zip,645000,models/dqn/wildlife_dqn_645000_steps.zip,2507.2808,1484.8353,408.3776,4845.4722,0.0000,8.2000,18.2000,0.0000
DQN,wildlife_dqn_650000_steps.zip,650000,models/dqn/wildlife_dqn_650000_steps.zip,2706.4372,1493.1269,305.5268,4796.8020,0.0000,4.2000,15.8000,17.4000
DQN,wildlife_dqn_655000_steps.zip,655000,models/dqn/wildlife_dqn_655000_steps.zip,2134.0648,1287.0346,717.5604,3988.0866,0.0000,10.4000,11.0000,24.4000
DQN,wildlife_dqn_660000_steps.zip,660000,models/dqn/wildlife_dqn_660000_steps.zip,2576.7458,1404.0861,-33.1972,3699.9000,0.0000,3.8000,8.8000,0.6000
DQN,wildlife_dqn_665000_steps.zip,665000,models/dqn/wildlife_dqn_665000_steps.zip,2189.5398,1377.4824,480.3992,4129.5582,0.0000,6.8000,7.2000,14.0000
DQN,wildlife_dqn_670000_steps.zip,670000,models/dqn/wildlife_dqn_670000_steps.zip,3707.3587,724.5516,2840.8780,4582.4908,0.0000,9.0000,12.0000,8.8000
DQN,wildlife_dqn_675000_steps.zip,675000,models/dqn/wildlife_dqn_675000_steps.zip,2987.4260,1257.2390,556.4918,4180.7074,0.0000,8.8000,16.8000,1.8000
DQN,wildlife_dqn_680000_steps.zip,680000,models/dqn/wildlife_dqn_680000_steps.zip,3282.1940,1057.7144,1769.8452,5048.4398,0.0000,7.0000,18.4000,0.8000
DQN,wildlife_dqn_685000_steps.zip,685000,models/dqn/wildlife_dqn_685000_steps.zip,3607.5710,705.0244,2639.5540,4791.5604,0.0000,8.2000,16.4000,5.6000
DQN,wildlife_dqn_690000_steps.zip,690000,models/dqn/wildlife_dqn_690000_steps.zip,2716.9780,2042.7302,-28.6906,5466.1982,0.0000,6.8000,21.0000,10.6000
