step,action,reward,total_reward,battery,coverage_pct,threats_caught,threats_missed,false_alerts
255,Move South,-0.389,-763.823,0.108,44.0,4,1,19
256,Investigate,-0.39,-764.213,0.102,44.0,4,1,19
257,Investigate,-0.39,-764.603,0.096,44.0,4,1,19
258,Move East,-0.391,-764.994,0.092,44.0,4,1,19
259,Move East,-0.391,-765.385,0.088,44.0,4,1,19
260,Move West,-0.392,-765.777,0.084,44.0,4,1,19
261,Recharge,-5.392,-771.168,0.084,44.0,4,1,19
262,Recharge,-5.392,-776.56,0.084,44.0,4,1,19
263,Recharge,-5.392,-781.951,0.084,44.0,4,1,19
264,Dispatch Alert,-100.392,-882.344,0.079,44.0,4,1,20
265,Investigate,-0.393,-882.736,0.073,44.0,4,1,20
266,Move East,-0.393,-883.129,0.069,44.0,4,1,20
267,Move South,-0.394,-883.523,0.065,44.0,4,1,20
268,Move East,-0.394,-883.917,0.061,44.0,4,1,20
269,Move East,-0.394,-884.311,0.057,44.0,4,1,20
270,Move North,-0.395,-884.706,0.053,44.0,4,1,20
271,Investigate,-0.395,-885.101,0.047,44.0,4,1,20
272,Move South,-0.396,-885.497,0.043,44.0,4,1,20
273,Move East,-0.396,-885.893,0.039,44.0,4,1,20
274,Move West,-0.397,-886.289,0.035,44.0,4,1,20
275,Move North,-0.397,-886.686,0.031,44.0,4,1,20
276,Move North,-0.397,-887.084,0.027,44.0,4,1,20
277,Move West,-0.398,-887.481,0.023,44.0,4,1,20
278,Dispatch Alert,-105.398,-992.879,0.018,44.0,4,1,21
279,Recharge,-5.398,-998.278,0.018,44.0,4,1,21
280,Dispatch Alert,-110.399,-1108.676,0.013,44.0,4,1,22
281,Recharge,-5.399,-1114.075,0.013,44.0,4,1,22
282,Move West,-0.399,-1114.474,0.009,44.0,4,1,22
283,Recharge,-5.399,-1119.873,0.009,44.0,4,1,22
284,Move West,-0.4,-1120.273,0.005,45.0,4,1,22
285,Dispatch Alert,-145.4,-1265.673,0.0,45.0,4,1,23
